合格者のIDと各成績
examid: 5, Math: 99, English: 65, Physics: 84
examid: 1703, Math: 66, English: 81, Physics: 98
examid: 1716, Math: 100, English: 48, Physics: 44
examid: 1742, Math: 97, English: 90, Physics: 80
examid: 1748, Math: 90, English: 75, Physics: 100
examid: 1785, Math: 75, English: 69, Physics: 99
examid: 1786, Math: 70, English: 99, Physics: 75
examid: 1792, Math: 99, English: 51, Physics: 100
examid: 1806, Math: 85, English: 95, Physics: 95
examid: 1841, Math: 59, English: 94, Physics: 92
examid: 1940, Math: 90, English: 97, Physics: 87
examid: 1950, Math: 83, English: 75, Physics: 93
examid: 1962, Math: 95, English: 68, Physics: 78
examid: 1986, Math: 84, English: 90, Physics: 99
examid: 1988, Math: 77, English: 83, Physics: 95
examid: 2010, Math: 100, English: 9, Physics: 75
examid: 2013, Math: 100, English: 41, Physics: 55
examid: 2034, Math: 78, English: 100, Physics: 65
examid: 2063, Math: 100, English: 14, Physics: 10
examid: 2108, Math: 87, English: 57, Physics: 100
examid: 2136, Math: 94, English: 84, Physics: 100
examid: 2159, Math: 93, English: 98, Physics: 58
examid: 2179, Math: 96, English: 90, Physics: 79
examid: 2205, Math: 100, English: 34, Physics: 12
examid: 2220, Math: 61, English: 99, Physics: 90
examid: 2226, Math: 79, English: 81, Physics: 89
examid: 2254, Math: 82, English: 73, Physics: 90
examid: 2267, Math: 63, English: 98, Physics: 84
examid: 2277, Math: 86, English: 97, Physics: 85
examid: 2283, Math: 89, English: 91, Physics: 96
examid: 2293, Math: 94, English: 79, Physics: 71
examid: 2348, Math: 88, English: 79, Physics: 96
examid: 2362, Math: 100, English: 71, Physics: 41
examid: 2433, Math: 84, English: 93, Physics: 78
examid: 2440, Math: 100, English: 48, Physics: 92
examid: 2456, Math: 100, English: 98, Physics: 25
examid: 2464, Math: 76, English: 82, Physics: 95
examid: 2473, Math: 90, English: 80, Physics: 91
examid: 2492, Math: 92, English: 65, Physics: 85
examid: 2520, Math: 87, English: 93, Physics: 72
examid: 2523, Math: 89, English: 93, Physics: 67
examid: 2565, Math: 93, English: 98, Physics: 54
examid: 2574, Math: 84, English: 83, Physics: 96
examid: 2606, Math: 88, English: 96, Physics: 82
examid: 2607, Math: 100, English: 38, Physics: 17
examid: 2621, Math: 100, English: 43, Physics: 43
examid: 2644, Math: 80, English: 98, Physics: 83
examid: 2728, Math: 80, English: 99, Physics: 64
examid: 2739, Math: 94, English: 97, Physics: 61
examid: 2755, Math: 63, English: 94, Physics: 88
examid: 2774, Math: 89, English: 70, Physics: 92
examid: 2828, Math: 72, English: 85, Physics: 100
examid: 2862, Math: 94, English: 91, Physics: 92
examid: 2866, Math: 98, English: 91, Physics: 81
examid: 2870, Math: 95, English: 84, Physics: 75
examid: 2883, Math: 88, English: 78, Physics: 86
examid: 2887, Math: 100, English: 38, Physics: 9
examid: 2935, Math: 89, English: 86, Physics: 95
examid: 2947, Math: 100, English: 100, Physics: 19
examid: 2990, Math: 72, English: 88, Physics: 95
examid: 2994, Math: 78, English: 91, Physics: 95
